slice_idx,z_mm,lesion_id,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,included
6,18.0,1,6.7081,89.0,0,0.0,2.67,369.06,0,365,6,373,False
7,21.0,2,5.3391,90.0,0,0.0,2.77,366.85,0,364,6,370,False
8,24.0,3,8.3509,97.0,0,0.0,3.33,365.02,0,361,8,369,False
8,24.0,4,3.5594,54.0,0,0.0,356.31,376.04,354,374,359,378,False
9,27.0,5,2.8749,82.0,0,0.0,3.33,362.62,1,360,6,365,False
10,30.0,6,10.5413,76.0,0,0.0,4.49,358.52,0,354,9,363,False
11,33.0,7,8.4878,86.0,0,0.0,5.0,356.63,1,352,9,361,False
12,36.0,8,9.0354,91.0,0,0.0,4.82,354.45,1,350,9,359,False
13,39.0,9,8.0771,86.0,0,0.0,5.39,352.76,1,349,10,356,False
14,42.0,10,6.7081,59.0,0,0.0,3.69,351.16,0,347,8,355,False
18,54.0,11,2.6011,81.0,0,0.0,307.89,336.42,306,335,310,338,False
20,60.0,12,0.1369,143.0,1,0.1369,97.0,86.0,97,86,97,86,False
20,60.0,13,0.1369,41.0,0,0.0,319.0,334.0,319,334,319,334,False
20,60.0,14,0.1369,45.0,0,0.0,318.0,335.0,318,335,318,335,False
21,63.0,15,0.1369,67.0,0,0.0,317.0,333.0,317,333,317,333,False
21,63.0,16,1.6428,64.0,0,0.0,319.08,335.17,318,333,320,337,False
22,66.0,17,2.8749,63.0,0,0.0,319.43,336.38,318,334,321,339,False
22,66.0,18,3.2856,62.0,0,0.0,327.29,343.21,325,341,329,346,False
23,69.0,19,4.107,179.0,1,4.107,363.37,89.13,360,86,367,92,True
23,69.0,20,13.9638,94.0,0,0.0,323.62,340.76,318,334,329,347,False
24,72.0,21,4.7915,244.0,2,9.583,359.54,94.2,357,91,362,97,True
24,72.0,22,9.0354,82.0,0,0.0,322.11,340.17,319,335,326,345,False
25,75.0,23,1.0952,151.0,1,1.0952,359.25,94.75,358,93,360,96,True
25,75.0,24,1.6428,113.0,0,0.0,355.0,107.5,354,106,356,109,False
25,75.0,25,3.0118,60.0,0,0.0,320.64,339.14,319,336,322,342,False
26,78.0,26,11.0889,253.0,2,22.1778,356.02,114.89,353,106,359,123,True
28,84.0,27,9.4461,272.0,2,18.8922,347.43,149.33,344,143,350,156,True
28,84.0,28,3.4225,205.0,2,6.845,258.6,254.96,256,253,261,257,True
29,87.0,29,12.1841,169.0,1,12.1841,317.11,173.47,311,169,323,177,True
29,87.0,30,2.0535,145.0,1,2.0535,298.6,179.87,297,178,300,182,True
29,87.0,31,46.1353,308.0,3,138.4059,270.8,199.36,258,189,288,212,True
29,87.0,32,12.5948,566.0,4,50.3792,247.53,206.73,241,203,254,211,True
30,90.0,33,16.2911,287.0,2,32.5822,315.74,173.6,308,168,323,178,True
30,90.0,34,9.1723,339.0,3,27.5169,297.69,180.87,292,177,304,185,True
30,90.0,35,45.3139,442.0,4,181.2556,271.45,198.44,259,189,288,212,True
30,90.0,36,15.059,829.0,4,60.236,246.75,206.73,239,202,253,211,True
30,90.0,37,4.3808,216.0,2,8.7616,222.97,210.0,219,208,227,212,True
31,93.0,38,7.1188,250.0,2,14.2376,313.69,173.1,309,169,318,176,True
31,93.0,39,9.9937,527.0,4,39.9748,296.84,181.71,292,177,302,186,True
31,93.0,40,2.738,177.0,1,2.738,281.7,192.85,279,191,284,195,True
31,93.0,41,13.5531,351.0,3,40.6593,219.44,208.66,213,204,227,213,True
31,93.0,42,13.2793,494.0,4,53.1172,245.66,207.58,237,204,252,211,True
32,96.0,43,8.214,299.0,2,16.428,296.95,181.82,293,178,301,186,True
32,96.0,44,15.3328,242.0,2,30.6656,220.05,208.46,213,204,228,213,True
32,96.0,45,14.6483,272.0,2,29.2966,242.27,208.89,235,205,249,214,True
