slice_idx,z_mm,lesion_id,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,included
8,24.0,1,4.2439,155.0,1,4.2439,259.94,163.1,258,160,263,166,True
8,24.0,2,1.0952,127.0,0,0.0,274.88,188.75,274,187,276,191,False
8,24.0,3,3.0118,171.0,1,3.0118,284.86,193.05,283,190,287,195,True
8,24.0,4,1.7797,121.0,0,0.0,276.92,195.31,276,193,278,198,False
9,27.0,5,1.0952,136.0,1,1.0952,250.12,161.88,249,161,251,163,True
9,27.0,6,35.7309,511.0,4,142.9236,274.69,184.46,265,172,282,198,True
16,48.0,7,6.5712,431.0,4,26.2848,203.5,37.0,200,34,207,40,True
21,63.0,8,11.9103,582.0,4,47.6412,324.83,231.0,319,227,331,235,True
22,66.0,9,10.8151,336.0,3,32.4453,322.77,231.86,316,228,329,236,True
25,75.0,10,9.8568,345.0,3,29.5704,278.93,255.31,274,251,284,259,True
27,81.0,11,4.5177,293.0,2,9.0354,110.42,264.42,108,262,113,267,True
28,84.0,12,0.2738,120.0,0,0.0,107.5,254.0,107,254,108,254,False
29,87.0,13,3.9701,236.0,2,7.9402,107.72,250.41,105,248,110,253,True
30,90.0,14,4.7915,211.0,2,9.583,155.8,156.29,152,154,159,159,True
30,90.0,15,16.8387,388.0,3,50.5161,161.67,168.76,155,162,168,176,True
30,90.0,16,9.8568,369.0,3,29.5704,207.81,168.11,203,163,212,173,True
30,90.0,17,14.3745,644.0,4,57.498,113.94,235.58,109,229,119,242,True
31,93.0,18,12.5948,284.0,2,25.1896,162.9,167.15,158,162,169,173,True
31,93.0,19,6.845,304.0,3,20.535,208.38,167.48,205,163,212,171,True
31,93.0,20,7.5295,259.0,2,15.059,117.67,231.24,114,228,122,235,True
32,96.0,21,3.1487,204.0,2,6.2974,265.61,27.09,263,25,268,29,True
