slice_idx,z_mm,lesion_id,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,included
4,12.0,1,0.8214,129.0,0,0.0,209.33,163.83,208,163,210,165,False
5,15.0,2,2.1904,166.0,1,2.1904,209.19,163.81,207,162,211,165,True
5,15.0,3,9.4461,308.0,3,28.3383,198.22,170.19,193,166,203,174,True
5,15.0,4,4.107,233.0,2,8.214,180.5,176.67,178,174,183,179,True
6,18.0,5,6.4343,262.0,2,12.8686,84.3,120.83,81,118,88,124,True
7,21.0,6,3.2856,192.0,1,3.2856,83.46,119.83,81,118,86,122,True
20,60.0,7,26.1479,363.0,3,78.4437,292.12,61.05,286,52,299,71,True
21,63.0,8,38.4689,453.0,4,153.8756,288.3,69.76,280,57,296,81,True
22,66.0,9,32.9929,598.0,4,131.9716,284.83,79.06,278,69,292,90,True
23,69.0,10,31.0763,459.0,4,124.3052,283.18,87.92,277,77,289,98,True
24,72.0,11,29.2966,449.0,4,117.1864,282.63,96.84,276,88,289,106,True
25,75.0,12,16.0173,281.0,2,32.0346,282.5,100.06,277,95,288,105,True
25,75.0,13,6.1605,283.0,2,12.321,251.18,248.6,248,245,254,252,True
30,90.0,14,9.7199,524.0,4,38.8796,259.87,164.39,256,160,264,169,True
30,90.0,15,3.0118,185.0,1,3.0118,273.09,167.91,271,166,275,170,True
30,90.0,16,1.369,134.0,1,1.369,239.3,205.3,238,204,241,207,True
31,93.0,17,4.9284,164.0,1,4.9284,244.08,180.0,241,177,247,183,True
31,93.0,18,5.3391,184.0,1,5.3391,227.33,194.03,224,191,231,197,True
31,93.0,19,20.3981,572.0,4,81.5924,209.15,199.66,199,195,220,205,True
31,93.0,20,17.2494,444.0,4,68.9976,190.02,214.37,181,211,199,218,True
32,96.0,21,7.6664,269.0,2,15.3328,204.05,200.75,200,197,209,204,True
32,96.0,22,19.166,568.0,4,76.664,191.86,212.86,183,208,200,217,True
32,96.0,23,6.7081,340.0,3,20.1243,150.04,328.86,146,325,154,332,True
33,99.0,24,9.583,792.0,4,38.332,161.29,330.69,157,327,166,335,True
34,102.0,25,4.3808,230.0,2,8.7616,160.28,329.72,157,327,163,332,True
