slice_idx,z_mm,lesion_id,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,included
0,0.0,1,0.8214,-335.0,0,0.0,10.5,376.33,10,375,12,378,False
1,3.0,2,2.3273,-45.0,0,0.0,10.41,375.94,8,374,12,378,False
2,6.0,3,0.2738,-261.0,0,0.0,13.5,340.0,13,340,14,340,False
2,6.0,4,2.1904,59.0,0,0.0,10.62,375.5,8,373,12,377,False
3,9.0,5,0.6845,38.0,0,0.0,13.4,339.8,13,339,14,341,False
3,9.0,6,1.2321,85.0,0,0.0,11.22,374.89,10,373,12,376,False
4,12.0,7,0.4107,6.0,0,0.0,11.67,374.67,11,374,12,375,False
8,24.0,8,1.9166,38.0,0,0.0,11.5,357.71,10,356,13,360,False
9,27.0,9,4.3808,57.0,0,0.0,12.09,356.75,10,353,14,361,False
10,30.0,10,6.7081,74.0,0,0.0,11.82,355.49,9,351,14,361,False
11,33.0,11,8.4878,84.0,0,0.0,11.42,354.56,8,350,14,360,False
11,33.0,12,1.5059,-557.0,0,0.0,337.0,353.0,336,351,338,355,False
12,36.0,13,9.0354,91.0,0,0.0,11.41,353.3,8,348,15,358,False
12,36.0,14,2.4642,-243.0,0,0.0,337.0,353.17,336,350,338,356,False
13,39.0,15,9.3092,83.0,0,0.0,11.38,352.81,8,348,15,358,False
13,39.0,16,2.3273,53.0,0,0.0,336.94,353.35,336,351,338,356,False
14,42.0,17,7.6664,57.0,0,0.0,11.18,352.07,8,347,15,356,False
14,42.0,18,1.9166,-176.0,0,0.0,336.79,353.21,336,351,338,356,False
14,42.0,19,0.1369,213.0,2,0.2738,227.0,364.0,227,364,227,364,False
14,42.0,20,0.2738,350.0,3,0.8214,227.0,366.5,227,366,227,367,False
15,45.0,21,2.3273,-15.0,0,0.0,9.47,351.71,8,348,11,354,False
15,45.0,22,0.9583,-451.0,0,0.0,336.57,353.29,336,352,337,355,False
15,45.0,23,0.2738,433.0,4,1.0952,227.0,366.5,227,366,227,367,False
17,51.0,24,0.8214,-258.0,0,0.0,312.33,337.17,312,336,313,339,False
18,54.0,25,0.2738,-165.0,0,0.0,4.0,319.5,4,319,4,320,False
18,54.0,26,0.8214,84.0,0,0.0,312.33,337.17,312,336,313,339,False
19,57.0,27,3.1487,-4.0,0,0.0,4.87,316.65,4,311,6,323,False
20,60.0,28,5.476,56.0,0,0.0,4.82,316.23,3,309,7,323,False
20,60.0,29,0.2738,45.0,0,0.0,325.5,336.0,325,336,326,336,False
21,63.0,30,0.4107,91.0,0,0.0,30.0,270.0,30,269,30,271,False
21,63.0,31,6.5712,59.0,0,0.0,5.06,315.52,3,308,8,323,False
21,63.0,32,0.5476,53.0,0,0.0,326.5,336.0,325,336,328,336,False
22,66.0,33,1.369,89.0,0,0.0,28.8,270.6,28,269,30,273,False
22,66.0,34,0.5476,-70.0,0,0.0,26.0,271.5,26,270,26,273,False
22,66.0,35,0.4107,-40.0,0,0.0,10.0,307.0,10,306,10,308,False
22,66.0,36,6.5712,64.0,0,0.0,5.5,314.25,3,307,8,322,False
22,66.0,37,0.5476,52.0,0,0.0,326.75,336.25,326,336,328,337,False
23,69.0,38,3.4225,70.0,0,0.0,27.6,270.88,26,268,30,274,False
23,69.0,39,0.6845,46.0,0,0.0,10.0,307.0,10,305,10,309,False
23,69.0,40,5.476,58.0,0,0.0,6.02,312.68,4,307,9,320,False
23,69.0,41,0.5476,73.0,0,0.0,326.75,336.25,326,336,328,337,False
24,72.0,42,3.5594,83.0,0,0.0,27.23,271.0,26,267,29,275,False
24,72.0,43,2.6011,-29.0,0,0.0,5.95,311.26,5,307,7,315,False
24,72.0,44,0.1369,-46.0,0,0.0,10.0,307.0,10,307,10,307,False
24,72.0,45,0.2738,78.0,0,0.0,326.5,336.0,326,336,327,336,False
25,75.0,46,3.4225,89.0,0,0.0,27.0,271.0,26,266,28,276,False
25,75.0,47,1.2321,72.0,0,0.0,321.89,343.67,321,342,323,345,False
26,78.0,48,3.8332,77.0,0,0.0,27.07,270.93,26,266,28,277,False
26,78.0,49,0.2738,58.0,0,0.0,321.0,343.5,321,343,321,344,False
27,81.0,50,3.6963,56.0,0,0.0,27.04,271.0,26,265,28,277,False
28,84.0,51,3.6963,45.0,0,0.0,27.07,270.59,26,265,28,276,False
29,87.0,52,4.3808,34.0,0,0.0,27.06,269.88,26,264,28,276,False
30,90.0,53,5.0653,36.0,0,0.0,27.0,269.97,26,264,28,276,False
31,93.0,54,5.476,51.0,0,0.0,26.9,269.77,25,264,28,276,False
32,96.0,55,5.3391,63.0,0,0.0,26.74,269.38,24,264,28,275,False
33,99.0,56,5.2022,69.0,0,0.0,26.45,269.18,24,265,28,274,False
34,102.0,57,1.7797,19.0,0,0.0,6.77,3.85,5,2,8,6,False
34,102.0,58,4.3808,59.0,0,0.0,26.78,269.09,25,265,28,274,False
35,105.0,59,4.2439,98.0,0,0.0,6.84,4.13,5,0,9,8,False
35,105.0,60,1.9166,31.0,0,0.0,26.71,269.64,26,266,28,273,False
36,108.0,61,5.8867,98.0,0,0.0,6.81,4.35,4,0,9,9,False
37,111.0,62,6.1605,259.0,2,12.321,6.62,4.44,4,0,9,9,True
38,114.0,63,5.2022,504.0,4,20.8088,6.63,4.58,4,0,9,9,True
39,117.0,64,3.0118,349.0,3,9.0354,6.55,4.77,5,2,9,8,True
43,129.0,65,0.1369,38.0,0,0.0,8.0,5.0,8,5,8,5,False
44,132.0,66,0.1369,34.0,0,0.0,8.0,5.0,8,5,8,5,False
