epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
1,0.99527,nan,nan,1.00e-03,135.0
2,0.99469,0.00238,0.00106,1.00e-03,22.5
3,0.99413,nan,nan,9.99e-04,31.0
4,0.99320,0.00474,0.00247,9.99e-04,21.5
5,0.99143,nan,nan,9.98e-04,23.5
6,0.98761,0.00508,0.00266,9.98e-04,20.6
7,0.98024,nan,nan,9.97e-04,22.3
8,0.97159,0.00618,0.00315,9.96e-04,20.2
9,0.96223,nan,nan,9.95e-04,21.5
10,0.95690,0.00673,0.00343,9.94e-04,20.6
11,0.95402,nan,nan,9.93e-04,21.1
12,0.95315,0.00661,0.00336,9.91e-04,21.3
13,0.94991,nan,nan,9.90e-04,22.3
14,0.95034,0.00715,0.00365,9.88e-04,20.8
15,0.94857,nan,nan,9.86e-04,22.6
16,0.94783,0.00716,0.00359,9.84e-04,20.8
17,0.94736,nan,nan,9.82e-04,23.6
18,0.94541,0.00721,0.00362,9.80e-04,20.7
19,0.94645,nan,nan,9.78e-04,22.8
20,0.94999,0.00719,0.00362,9.76e-04,20.8
21,0.94513,nan,nan,9.73e-04,22.5
22,0.94765,0.00729,0.00365,9.70e-04,20.5
23,0.94760,nan,nan,9.68e-04,23.0
24,0.94906,0.00711,0.00359,9.65e-04,20.7
25,0.94760,nan,nan,9.62e-04,22.2
26,0.94659,0.00755,0.00395,9.59e-04,21.3
27,0.85801,nan,nan,9.56e-04,22.6
28,0.62954,0.28118,0.24987,9.52e-04,20.7
29,0.58187,nan,nan,9.49e-04,22.9
30,0.56045,0.26674,0.22963,9.46e-04,20.5
31,0.55506,nan,nan,9.42e-04,23.0
32,0.54334,0.31102,0.26313,9.38e-04,21.0
33,0.54212,nan,nan,9.34e-04,22.2
34,0.51586,0.29924,0.23379,9.30e-04,20.5
35,0.52042,nan,nan,9.26e-04,24.6
36,0.52641,0.38166,0.31426,9.22e-04,21.2
37,0.51708,nan,nan,9.18e-04,22.7
