epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
1,0.99545,nan,nan,1.00e-03,129.7
2,0.99446,0.00436,0.00183,1.00e-03,20.2
3,0.99400,nan,nan,9.99e-04,28.0
4,0.99348,0.00277,0.00129,9.99e-04,20.5
5,0.99113,nan,nan,9.98e-04,23.3
6,0.98702,0.00268,0.00125,9.98e-04,21.0
7,0.97977,nan,nan,9.97e-04,23.4
8,0.97130,0.00456,0.00219,9.96e-04,20.2
9,0.96108,nan,nan,9.95e-04,22.4
10,0.93887,0.05744,0.03637,9.94e-04,20.9
11,0.77673,nan,nan,9.93e-04,23.5
12,0.63615,0.14156,0.09603,9.91e-04,20.5
13,0.60426,nan,nan,9.90e-04,22.1
14,0.59361,0.27055,0.25710,9.88e-04,20.3
15,0.56382,nan,nan,9.86e-04,22.7
16,0.56437,0.30186,0.29421,9.84e-04,20.2
17,0.55434,nan,nan,9.82e-04,22.7
18,0.55900,0.43357,0.48746,9.80e-04,20.9
19,0.55533,nan,nan,9.78e-04,21.5
20,0.55653,0.27780,0.22292,9.76e-04,20.4
21,0.55914,nan,nan,9.73e-04,23.0
22,0.53832,0.32432,0.28552,9.70e-04,21.4
23,0.54996,nan,nan,9.68e-04,21.8
24,0.53836,0.42779,0.46324,9.65e-04,21.0
25,0.53478,nan,nan,9.62e-04,21.3
26,0.54406,0.37411,0.37644,9.59e-04,20.5
27,0.53595,nan,nan,9.56e-04,21.1
28,0.52257,0.41136,0.42271,9.52e-04,21.4
29,0.52306,nan,nan,9.49e-04,21.0
30,0.52494,0.46612,0.54050,9.46e-04,20.7
31,0.52206,nan,nan,9.42e-04,21.5
32,0.52428,0.41524,0.45503,9.38e-04,21.0
33,0.50824,nan,nan,9.34e-04,21.4
34,0.53165,0.42553,0.45037,9.30e-04,20.6
35,0.51601,nan,nan,9.26e-04,21.4
36,0.51357,0.32286,0.25439,9.22e-04,20.8
37,0.53498,nan,nan,9.18e-04,21.5
38,0.53158,0.38250,0.41127,9.14e-04,20.4
39,0.52835,nan,nan,9.09e-04,21.5
40,0.50852,0.46005,0.52768,9.05e-04,21.7
41,0.52147,nan,nan,9.00e-04,21.4
42,0.52394,0.45229,0.50028,8.95e-04,20.7
43,0.52699,nan,nan,8.90e-04,21.3
44,0.53477,0.44112,0.48489,8.85e-04,20.6
45,0.49939,nan,nan,8.80e-04,22.0
