epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
1,0.99568,nan,nan,1.00e-03,150.7
2,0.99543,0.00126,0.00053,1.00e-03,87.1
3,0.99500,nan,nan,9.99e-04,98.3
4,0.99266,0.00089,0.00039,9.99e-04,84.7
5,0.98850,nan,nan,9.98e-04,96.2
6,0.98291,0.00126,0.00054,9.98e-04,84.7
7,0.97796,nan,nan,9.97e-04,99.5
8,0.96691,0.00192,0.00083,9.96e-04,87.5
9,0.95987,nan,nan,9.95e-04,101.6
10,0.94604,0.00406,0.00182,9.94e-04,87.8
11,0.89637,nan,nan,9.93e-04,96.0
12,0.71866,0.06128,0.03370,9.91e-04,87.1
13,0.63520,nan,nan,9.90e-04,97.4
14,0.61544,0.05301,0.02771,9.88e-04,86.3
15,0.61960,nan,nan,9.86e-04,100.8
16,0.59035,0.09204,0.06116,9.84e-04,92.5
17,0.58958,nan,nan,9.82e-04,95.2
18,0.58605,0.19156,0.15974,9.80e-04,86.8
19,0.58965,nan,nan,9.78e-04,95.3
20,0.57627,0.15734,0.12541,9.76e-04,88.2
21,0.58231,nan,nan,9.73e-04,98.4
22,0.58576,0.13665,0.09196,9.70e-04,88.0
23,0.56961,nan,nan,9.68e-04,99.6
24,0.56449,0.13904,0.08974,9.65e-04,85.5
25,0.56323,nan,nan,9.62e-04,101.4
26,0.57819,0.16257,0.12186,9.59e-04,88.2
27,0.55929,nan,nan,9.56e-04,98.0
28,0.55354,0.18721,0.14213,9.52e-04,89.6
29,0.54733,nan,nan,9.49e-04,100.5
30,0.57006,0.15321,0.10405,9.46e-04,88.0
31,0.55536,nan,nan,9.42e-04,98.4
32,0.56452,0.22873,0.20683,9.38e-04,87.2
33,0.55109,nan,nan,9.34e-04,96.2
34,0.55512,0.15131,0.10011,9.30e-04,85.7
35,0.55411,nan,nan,9.26e-04,98.7
36,0.55709,0.14719,0.09702,9.22e-04,90.4
37,0.54678,nan,nan,9.18e-04,97.3
38,0.54565,0.15534,0.09261,9.14e-04,91.1
39,0.55887,nan,nan,9.09e-04,100.0
40,0.54175,0.13014,0.08421,9.05e-04,87.8
41,0.55595,nan,nan,9.00e-04,99.5
42,0.56193,0.17291,0.12285,8.95e-04,87.2
43,0.54110,nan,nan,8.90e-04,99.9
44,0.54460,0.21497,0.17303,8.85e-04,84.7
45,0.53578,nan,nan,8.80e-04,96.3
46,0.53575,0.22102,0.19136,8.75e-04,85.9
47,0.53938,nan,nan,8.70e-04,98.0
48,0.55550,0.26373,0.21927,8.64e-04,87.0
49,0.54328,nan,nan,8.59e-04,99.3
50,0.53911,0.28814,0.24111,8.54e-04,86.0
51,0.54589,nan,nan,8.48e-04,99.2
52,0.54493,0.27546,0.23395,8.42e-04,89.1
53,0.52034,nan,nan,8.37e-04,97.3
54,0.54767,0.22723,0.18371,8.31e-04,85.3
55,0.53642,nan,nan,8.25e-04,97.2
56,0.52814,0.19030,0.12348,8.19e-04,91.0
57,0.55022,nan,nan,8.13e-04,99.9
58,0.52230,0.25931,0.20170,8.06e-04,86.5
59,0.54452,nan,nan,8.00e-04,95.9
60,0.53940,0.27889,0.23361,7.94e-04,88.5
61,0.53522,nan,nan,7.88e-04,99.6
62,0.53290,0.17277,0.12748,7.81e-04,87.7
63,0.53204,nan,nan,7.75e-04,96.5
64,0.53151,0.24053,0.19749,7.68e-04,88.1
65,0.54785,nan,nan,7.61e-04,97.8
66,0.52518,0.21976,0.17383,7.55e-04,90.5
67,0.52709,nan,nan,7.48e-04,98.3
68,0.53275,0.30311,0.26661,7.41e-04,85.7
69,0.54159,nan,nan,7.34e-04,95.9
70,0.52632,0.28283,0.25567,7.27e-04,86.1
71,0.54081,nan,nan,7.20e-04,96.1
72,0.53232,0.14259,0.09339,7.13e-04,84.8
73,0.52878,nan,nan,7.06e-04,101.5
74,0.53811,0.20458,0.14859,6.99e-04,90.0
75,0.52647,nan,nan,6.91e-04,96.3
76,0.54024,0.23235,0.20286,6.84e-04,86.3
77,0.54748,nan,nan,6.77e-04,99.8
78,0.52866,0.15060,0.10524,6.69e-04,87.4
79,0.53859,nan,nan,6.62e-04,98.6
80,0.53740,0.27431,0.25470,6.55e-04,88.7
81,0.54101,nan,nan,6.47e-04,100.7
82,0.52174,0.22565,0.18499,6.39e-04,88.8
83,0.52552,nan,nan,6.32e-04,98.6
84,0.51734,0.16126,0.11373,6.24e-04,83.3
85,0.52398,nan,nan,6.17e-04,99.6
86,0.52619,0.25605,0.20528,6.09e-04,90.1
87,0.53561,nan,nan,6.01e-04,97.5
88,0.53693,0.21151,0.16748,5.94e-04,90.5
89,0.52409,nan,nan,5.86e-04,98.5
90,0.52927,0.23789,0.18909,5.78e-04,86.0
91,0.52173,nan,nan,5.70e-04,97.9
92,0.52080,0.23520,0.19788,5.63e-04,86.6
93,0.50693,nan,nan,5.55e-04,96.0
94,0.38118,0.52548,0.61938,5.47e-04,87.4
95,0.28733,nan,nan,5.39e-04,97.3
96,0.25468,0.47131,0.55379,5.31e-04,88.3
97,0.24579,nan,nan,5.24e-04,99.8
98,0.23518,0.53234,0.60480,5.16e-04,86.7
99,0.21507,nan,nan,5.08e-04,97.7
100,0.21665,0.45806,0.53550,5.00e-04,84.6
101,0.20987,nan,nan,4.92e-04,98.5
102,0.19415,0.54121,0.62010,4.84e-04,87.8
103,0.19080,nan,nan,4.76e-04,98.2
104,0.20111,0.57918,0.65988,4.69e-04,88.7
105,0.19612,nan,nan,4.61e-04,100.0
106,0.18350,0.57136,0.63243,4.53e-04,91.1
