epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
1,0.99467,nan,nan,1.00e-03,116.3
2,0.99426,0.00336,0.00148,1.00e-03,22.9
3,0.99308,nan,nan,9.99e-04,26.9
4,0.99016,0.00197,0.00090,9.99e-04,21.4
5,0.98630,nan,nan,9.98e-04,22.6
6,0.98005,0.00291,0.00140,9.98e-04,20.8
7,0.97238,nan,nan,9.97e-04,22.1
8,0.96522,0.00546,0.00265,9.96e-04,20.9
9,0.95543,nan,nan,9.95e-04,23.9
10,0.94150,0.00864,0.00410,9.94e-04,21.1
11,0.92279,nan,nan,9.93e-04,23.2
12,0.77566,0.08669,0.05182,9.91e-04,21.1
13,0.61063,nan,nan,9.90e-04,22.9
14,0.57989,0.29546,0.28736,9.88e-04,20.6
15,0.57565,nan,nan,9.86e-04,23.2
16,0.55948,0.28610,0.28033,9.84e-04,21.1
17,0.54577,nan,nan,9.82e-04,23.8
18,0.54331,0.26436,0.24497,9.80e-04,21.2
19,0.53480,nan,nan,9.78e-04,22.3
20,0.54503,0.27581,0.24705,9.76e-04,20.3
21,0.52194,nan,nan,9.73e-04,22.7
22,0.51053,0.38846,0.40000,9.70e-04,21.2
23,0.51366,nan,nan,9.68e-04,24.0
24,0.51772,0.34510,0.34390,9.65e-04,20.6
25,0.51547,nan,nan,9.62e-04,21.4
26,0.49698,0.38334,0.38591,9.59e-04,21.0
27,0.51439,nan,nan,9.56e-04,22.3
28,0.52192,0.39763,0.42439,9.52e-04,21.0
29,0.49163,nan,nan,9.49e-04,22.6
30,0.50703,0.44144,0.50224,9.46e-04,20.9
31,0.51032,nan,nan,9.42e-04,22.1
32,0.50066,0.41979,0.44093,9.38e-04,21.2
33,0.50223,nan,nan,9.34e-04,22.0
34,0.48659,0.45387,0.48825,9.30e-04,20.8
35,0.50530,nan,nan,9.26e-04,22.3
36,0.49969,0.42299,0.46850,9.22e-04,20.4
37,0.50049,nan,nan,9.18e-04,23.1
38,0.48902,0.40699,0.42471,9.14e-04,20.6
39,0.51209,nan,nan,9.09e-04,22.6
40,0.48920,0.42052,0.45874,9.05e-04,20.7
41,0.50271,nan,nan,9.00e-04,23.0
42,0.48786,0.38572,0.37964,8.95e-04,20.6
43,0.48713,nan,nan,8.90e-04,22.2
44,0.48615,0.41076,0.44330,8.85e-04,20.6
45,0.48054,nan,nan,8.80e-04,22.1
46,0.48952,0.40762,0.40585,8.75e-04,20.4
47,0.47345,nan,nan,8.70e-04,22.1
48,0.47839,0.45559,0.50246,8.64e-04,21.0
49,0.49309,nan,nan,8.59e-04,22.5
50,0.50058,0.44923,0.51829,8.54e-04,20.4
