feature,kruskal_stat,p_value,significant
original_firstorder_Minimum,8.1041,0.0044,True
original_shape_Flatness,7.56,0.006,True
original_shape_SurfaceVolumeRatio,7.56,0.006,True
original_shape_LeastAxisLength,7.56,0.006,True
original_firstorder_Entropy,7.56,0.006,True
original_firstorder_TotalEnergy,7.56,0.006,True
original_firstorder_Uniformity,7.56,0.006,True
original_firstorder_Mean,7.56,0.006,True
original_firstorder_RootMeanSquared,7.56,0.006,True
original_firstorder_Skewness,7.56,0.006,True
original_firstorder_MeanAbsoluteDeviation,7.56,0.006,True
original_firstorder_Variance,7.56,0.006,True
original_firstorder_Energy,7.56,0.006,True
original_firstorder_Kurtosis,7.56,0.006,True
original_glcm_JointAverage,7.56,0.006,True
original_glcm_JointEnergy,7.56,0.006,True
original_gldm_LargeDependenceHighGrayLevelEmphasis,7.56,0.006,True
original_glcm_JointEntropy,7.56,0.006,True
original_glcm_SumAverage,7.56,0.006,True
original_glcm_MaximumProbability,7.56,0.006,True
original_gldm_HighGrayLevelEmphasis,7.56,0.006,True
original_gldm_GrayLevelVariance,7.56,0.006,True
original_gldm_DependenceVariance,7.56,0.006,True
original_gldm_DependenceNonUniformityNormalized,7.56,0.006,True
original_glcm_Idmn,7.56,0.006,True
original_gldm_LargeDependenceEmphasis,7.56,0.006,True
original_gldm_LargeDependenceLowGrayLevelEmphasis,7.56,0.006,True
original_gldm_DependenceEntropy,7.56,0.006,True
original_glcm_Imc1,7.56,0.006,True
original_gldm_SmallDependenceHighGrayLevelEmphasis,7.56,0.006,True
original_gldm_SmallDependenceEmphasis,7.56,0.006,True
original_gldm_LowGrayLevelEmphasis,7.56,0.006,True
original_glrlm_ShortRunEmphasis,7.56,0.006,True
original_glrlm_ShortRunHighGrayLevelEmphasis,7.56,0.006,True
original_glrlm_ShortRunLowGrayLevelEmphasis,7.56,0.006,True
original_glszm_GrayLevelNonUniformity,7.56,0.006,True
original_glszm_SizeZoneNonUniformity,7.56,0.006,True
original_glrlm_RunEntropy,7.56,0.006,True
original_glrlm_RunLengthNonUniformityNormalized,7.56,0.006,True
original_glrlm_RunPercentage,7.56,0.006,True
original_glszm_ZoneEntropy,7.56,0.006,True
original_glszm_ZonePercentage,7.56,0.006,True
original_glszm_ZoneVariance,7.56,0.006,True
original_ngtdm_Contrast,7.56,0.006,True
original_ngtdm_Complexity,7.56,0.006,True
original_glszm_LargeAreaEmphasis,7.56,0.006,True
original_glszm_LowGrayLevelZoneEmphasis,7.56,0.006,True
original_glszm_LargeAreaLowGrayLevelEmphasis,7.56,0.006,True
original_glrlm_LongRunEmphasis,7.56,0.006,True
original_glrlm_LongRunLowGrayLevelEmphasis,7.56,0.006,True
original_glrlm_LowGrayLevelRunEmphasis,7.56,0.006,True
original_glrlm_HighGrayLevelRunEmphasis,7.56,0.006,True
original_glrlm_GrayLevelNonUniformityNormalized,7.56,0.006,True
original_glcm_Idn,7.0876,0.0078,True
original_glrlm_GrayLevelVariance,7.0876,0.0078,True
original_glszm_SmallAreaLowGrayLevelEmphasis,7.0876,0.0078,True
original_glcm_SumEntropy,7.0876,0.0078,True
original_shape_Elongation,7.0876,0.0078,True
original_glcm_Autocorrelation,7.0876,0.0078,True
original_ngtdm_Coarseness,6.6305,0.01,True
original_glszm_HighGrayLevelZoneEmphasis,6.1886,0.0129,True
original_glcm_MCC,6.1886,0.0129,True
original_glcm_Correlation,6.1886,0.0129,True
original_firstorder_Range,5.7619,0.0164,True
original_gldm_SmallDependenceLowGrayLevelEmphasis,5.7619,0.0164,True
original_glrlm_RunVariance,5.7619,0.0164,True
original_firstorder_Maximum,5.7619,0.0164,True
original_glcm_ClusterShade,5.3505,0.0207,True
original_glszm_GrayLevelNonUniformityNormalized,5.3505,0.0207,True
original_glszm_SmallAreaHighGrayLevelEmphasis,5.3505,0.0207,True
original_ngtdm_Strength,4.5733,0.0325,True
original_glcm_ClusterTendency,4.5733,0.0325,True
original_glcm_DifferenceEntropy,4.5733,0.0325,True
original_glcm_ClusterProminence,4.5733,0.0325,True
original_glcm_SumSquares,4.2076,0.0402,True
original_glszm_GrayLevelVariance,4.2076,0.0402,True
original_glcm_Idm,2.6076,0.1064,False
original_glcm_Id,2.3333,0.1266,False
original_glcm_DifferenceVariance,2.3333,0.1266,False
original_glrlm_LongRunHighGrayLevelEmphasis,2.0743,0.1498,False
original_glcm_Contrast,2.0743,0.1498,False
original_glcm_DifferenceAverage,2.0743,0.1498,False
original_ngtdm_Busyness,1.3886,0.2386,False
original_glcm_Imc2,0.84,0.3594,False
original_shape_Maximum2DDiameterColumn,0.4286,0.5127,False
original_glcm_InverseVariance,0.3219,0.5705,False
original_glrlm_GrayLevelNonUniformity,0.1543,0.6945,False
original_glszm_LargeAreaHighGrayLevelEmphasis,0.1543,0.6945,False
original_shape_MinorAxisLength,0.1543,0.6945,False
original_gldm_DependenceNonUniformity,0.1543,0.6945,False
original_gldm_GrayLevelNonUniformity,0.1543,0.6945,False
original_firstorder_Median,0.1429,0.7055,False
original_firstorder_10Percentile,0.1429,0.7055,False
original_firstorder_90Percentile,0.1429,0.7055,False
original_glszm_SizeZoneNonUniformityNormalized,0.0476,0.8273,False
original_shape_Maximum2DDiameterRow,0.0171,0.8958,False
original_glszm_SmallAreaEmphasis,0.0171,0.8958,False
original_glrlm_RunLengthNonUniformity,0.0171,0.8958,False
original_shape_MajorAxisLength,0.0171,0.8958,False
original_shape_Maximum3DDiameter,0.0019,0.9652,False
original_shape_Sphericity,0.0019,0.9652,False
original_shape_SurfaceArea,0.0019,0.9652,False
original_shape_VoxelVolume,0.0019,0.9652,False
original_shape_MeshVolume,0.0019,0.9652,False
original_shape_Maximum2DDiameterSlice,0.0019,0.9652,False
