feature,spearman_r,p_value,abs_corr,significant
original_glcm_JointEnergy,-0.9885,0.0,0.9884757789663802,True
original_glcm_JointEntropy,0.9867,0.0,0.9867362703364349,True
original_glcm_MaximumProbability,-0.9867,0.0,0.9867362703364349,True
original_gldm_GrayLevelVariance,0.9859,0.0,0.9858665160214624,True
original_firstorder_Energy,0.985,0.0,0.9849967617064898,True
original_firstorder_TotalEnergy,0.985,0.0,0.9849967617064898,True
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.9846,0.0,0.9845618845490035,True
original_glrlm_RunEntropy,0.9833,0.0,0.9832572530765445,True
original_firstorder_RootMeanSquared,0.9815,0.0,0.9815177444465992,True
original_firstorder_MeanAbsoluteDeviation,0.9806,0.0,0.9806479901316266,True
original_firstorder_Variance,0.9806,0.0,0.9806479901316266,True
original_glrlm_HighGrayLevelRunEmphasis,0.9798,0.0,0.9797782358166541,True
original_glrlm_ShortRunHighGrayLevelEmphasis,0.9798,0.0,0.9797782358166541,True
original_ngtdm_Complexity,0.9767,0.0,0.9767340957142499,True
original_ngtdm_Contrast,0.9706,0.0,0.9706458155094415,True
original_glrlm_GrayLevelNonUniformityNormalized,-0.9698,0.0,0.969776061194469,True
original_glcm_SumEntropy,0.9693,0.0,0.9693411840369826,True
original_glszm_ZonePercentage,0.9689,0.0,0.9689063068794963,True
original_firstorder_Entropy,0.9685,0.0,0.9684714297220101,True
original_glrlm_ShortRunEmphasis,0.9685,0.0,0.9684714297220101,True
original_glszm_SizeZoneNonUniformity,0.9672,0.0,0.9671667982495511,True
original_firstorder_Uniformity,-0.9672,0.0,0.9671667982495511,True
original_glrlm_GrayLevelVariance,0.965,0.0,0.9649924124621196,True
original_gldm_HighGrayLevelEmphasis,0.9606,0.0,0.9606436408872565,True
original_glszm_ZoneEntropy,0.9602,0.0,0.9602087637297703,True
original_glrlm_LowGrayLevelRunEmphasis,-0.9541,0.0,0.9541204835249618,True
original_gldm_LowGrayLevelEmphasis,-0.9528,0.0,0.952815852052503,True
original_gldm_SmallDependenceEmphasis,0.9476,0.0,0.9475973261626671,True
original_glszm_LargeAreaLowGrayLevelEmphasis,-0.9472,0.0,0.9471624490051809,True
original_firstorder_Mean,0.9441,0.0,0.9441183089027766,True
original_firstorder_Skewness,-0.9432,0.0,0.9432485545878041,True
original_glszm_LowGrayLevelZoneEmphasis,-0.9346,0.0,0.934551011438078,True
original_firstorder_Kurtosis,-0.9337,0.0,0.9336812571231053,True
original_glszm_GrayLevelNonUniformity,0.9319,0.0,0.9319417484931601,True
original_ngtdm_Coarseness,-0.9228,0.0,0.9228093281859476,True
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.915,0.0,0.9149815393511941,True
original_gldm_DependenceVariance,0.9119,0.0,0.9119373992487899,True
original_shape_LeastAxisLength,0.9111,0.0,0.9110676449338172,True
original_glcm_JointAverage,0.9041,0.0,0.9041096104140363,True
original_glcm_SumAverage,0.9041,0.0,0.9041096104140363,True
original_glcm_DifferenceEntropy,0.9032,0.0,0.9032398560990637,True
original_glcm_Autocorrelation,0.9024,0.0,0.902370101784091,True
original_firstorder_Maximum,0.9015,0.0,0.9015003474691183,True
original_firstorder_Range,0.9006,0.0,0.9006305931541458,True
original_gldm_LargeDependenceLowGrayLevelEmphasis,-0.9002,0.0,0.9001957159966595,True
original_glszm_LargeAreaEmphasis,-0.898,0.0,0.8980213302092279,True
original_glszm_ZoneVariance,-0.898,0.0,0.8980213302092279,True
original_glrlm_LongRunLowGrayLevelEmphasis,-0.8924,0.0,0.892367927161906,True
original_glszm_HighGrayLevelZoneEmphasis,0.8885,0.0,0.8884540327445292,True
original_glcm_ClusterShade,0.8841,0.0,0.884105261169666,True
original_glcm_ClusterProminence,0.8754,0.0,0.8754077180199399,True
original_glszm_GrayLevelNonUniformityNormalized,-0.8732,0.0,0.8732333322325083,True
original_glszm_SmallAreaHighGrayLevelEmphasis,0.8724,0.0,0.8723635779175358,True
original_shape_Flatness,0.8724,0.0,0.8723635779175358,True
original_glcm_ClusterTendency,0.8711,0.0,0.8710589464450768,True
original_glrlm_RunPercentage,0.8471,0.0,0.8471407027833299,True
original_gldm_DependenceEntropy,0.8454,0.0,0.8454011941533847,True
original_shape_Elongation,-0.8376,0.0,0.8375734053186311,True
original_firstorder_Minimum,-0.8373,0.0,0.837257087294408,True
original_glcm_SumSquares,0.8345,0.0,0.834529265216227,True
original_glszm_GrayLevelVariance,0.8258,0.0,0.8258317220665006,True
original_glcm_Imc1,0.8232,0.0,0.8232224591215829,True
original_gldm_LargeDependenceEmphasis,-0.8167,0.0,0.8166993017592881,True
original_glcm_Correlation,0.7915,0.0,0.7914764266250821,True
original_glrlm_LongRunEmphasis,-0.7797,0.0,0.7797347433729519,True
original_gldm_DependenceNonUniformityNormalized,-0.7615,0.0,0.761469902758527,True
